0.000	0.000
0.001	1.545
0.002	2.939
0.003	4.045
0.004	4.755
0.005	5.000
0.006	4.755
0.007	4.045
0.008	2.939
0.009	1.545
0.010	0.000
0.011	-1.545
0.012	-2.939
0.013	-4.045
0.014	-4.755
0.015	-5.000
0.016	-4.755
0.017	-4.045
0.018	-2.939
0.019	-1.545
0.020	-0.000
0.021	1.545
0.022	2.939
0.023	4.045
0.024	4.755
0.025	5.000
0.026	4.755
0.027	4.045
0.028	2.939
0.029	1.545
0.030	0.000
0.031	-1.545
0.032	-2.939
0.033	-4.045
0.034	-4.755
0.035	-5.000
0.036	-4.755
0.037	-4.045
0.038	-2.939
0.039	-1.545
0.040	-0.000
0.041	1.545
0.042	2.939
0.043	4.045
0.044	4.755
0.045	5.000
0.046	4.755
0.047	4.045
0.048	2.939
0.049	1.545
0.050	-0.000
0.051	-1.545
0.052	-2.939
0.053	-4.045
0.054	-4.755
0.055	-5.000
0.056	-4.755
0.057	-4.045
0.058	-2.939
0.059	-1.545
0.060	-0.000
0.061	1.545
0.062	2.939
0.063	4.045
0.064	4.755
0.065	5.000
0.066	4.755
0.067	4.045
0.068	2.939
0.069	1.545
0.070	-0.000
0.071	-1.545
0.072	-2.939
0.073	-4.045
0.074	-4.755
0.075	-5.000
0.076	-4.755
0.077	-4.045
0.078	-2.939
0.079	-1.545
0.080	-0.000
0.081	1.545
0.082	2.939
0.083	4.045
0.084	4.755
0.085	5.000
0.086	4.755
0.087	4.045
0.088	2.939
0.089	1.545
0.090	0.000
0.091	-1.545
0.092	-2.939
0.093	-4.045
0.094	-4.755
0.095	-5.000
0.096	-4.755
0.097	-4.045
0.098	-2.939
0.099	-1.545
